Zeitpunkt,Andechs/Rothenfeld,Ansbach/Residenzstraße,Aschaffenburg/Bussardweg,Augsburg/Bourges-Platz,Augsburg/Karlstraße,Augsburg/Königsplatz,Augsburg/LfU,Bad Hindelang/Oberjoch,Bad Reichenhall/Kirchholzstraße,Bamberg/Löwenbrücke,Bayreuth/Hohenzollernring,Burgbernheim/Grüne Au,Burghausen/Marktler Straße,Erlangen/Kraepelinstraße,Garmisch-Partenkirchen/Wasserwerk,Hof/LfU,Ingolstadt/Münchener Straße,Ingolstadt/Rechbergstraße,Kelheim/Regensburger Straße,Kempten (Allgäu)/Westendstraße,Kleinwallstadt/Hofstetter Straße,Kulmbach/Konrad-Adenauer-Straße,Landshut/Podewilsstraße,Lindau (Bodensee)/Friedrichshafener Str.,Mehring/Sportplatz,München/Allach,München/Johanneskirchen,München/Landshuter Allee,München/Lothstraße,München/Stachus,Neu-Ulm/Gabelsbergerstraße,Neustadt a.d. Aisch/An der Weißen Marter,Neustadt a.d.Donau/Eining,Nürnberg/Bahnhof,Nürnberg/Muggenhof,Nürnberg/Von-der-Tann-Straße,Oberaudorf/Inntal-Autobahn,Oettingen/Goethestraße,Passau/Angerstraße,Passau/Stelzhamerstraße,Regensburg/Rathaus,Saal a.d.Donau/Regensburger Straße,Schwabach/Angerstraße,Schwandorf/Wackersdorfer Straße,Schweinfurt/Obertor,Tiefenbach/Altenschneeberg,Trostberg/Schwimmbadstraße,Weiden i.d.OPf./Nikolaistraße,Würzburg/Stadtring Süd
02.05.2022 23:00,5,12,27,30,26,21,20,2,15,27,37,9,17,11,2,21,20,17,14,3,7,25,11,14,11,11,15,32,13,22,17,9,17,33,27,53,14,15,17,33,10,19,34,7,12,2,12,18,31
02.05.2022 24:00,4,10,36,19,21,18,17,1,12,23,30,11,17,10,2,19,21,18,12,3,6,23,15,13,9,15,21,40,12,22,24,26,11,27,27,41,6,15,11,28,12,14,19,8,9,3,9,12,31
03.05.2022 01:00,3,11,29,21,21,21,20,4,12,18,36,11,19,10,4,16,24,19,6,6,7,15,16,15,8,18,22,35,16,27,33,25,10,26,34,33,9,12,12,26,16,10,15,6,9,3,8,20,28
03.05.2022 02:00,5,11,43,18,21,16,10,0,18,14,35,5,15,12,3,17,25,13,6,13,8,32,10,14,10,28,25,35,19,24,33,15,14,23,28,28,12,14,15,26,12,9,22,8,11,2,7,14,27
03.05.2022 03:00,4,9,48,24,28,23,11,0,10,11,26,5,19,11,3,33,30,13,5,10,8,25,10,12,12,23,24,34,27,26,33,12,12,25,26,23,20,18,16,23,10,11,15,12,8,3,12,14,34
03.05.2022 04:00,2,14,37,28,25,21,16,0,9,11,30,5,25,11,6,28,35,18,5,31,8,20,17,12,12,25,22,36,19,19,36,11,12,26,48,35,13,17,13,22,16,10,13,10,11,3,11,27,28
03.05.2022 05:00,3,19,43,33,44,43,20,0,11,14,25,7,27,11,6,25,30,26,10,19,12,23,18,16,17,25,22,57,21,33,30,22,9,40,43,37,27,17,20,22,29,12,18,17,27,3,16,33,30
03.05.2022 06:00,2,23,47,38,50,42,37,1,6,23,29,11,27,10,9,31,33,26,13,32,22,38,25,16,13,30,23,69,33,35,46,21,15,40,39,40,21,15,32,29,29,18,20,17,43,3,17,32,41
03.05.2022 07:00,4,25,36,36,45,41,36,1,7,22,36,10,18,9,8,37,38,38,14,34,21,43,31,19,11,33,31,88,43,36,51,19,11,43,38,47,23,19,37,29,31,21,21,23,37,3,17,35,59
03.05.2022 08:00,4,30,39,45,45,35,22,2,6,17,37,10,20,15,9,29,41,44,13,20,15,43,29,21,13,26,31,77,45,52,44,28,6,44,38,58,16,21,43,35,26,14,27,22,54,3,11,26,54
